"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Latest Source","hs_analytics_latest_source","enumeration","Source of the last session attributed to any contacts that are associated with this company","companyinformation","false","[{""label"":""Organic Search"",""value"":""ORGANIC_SEARCH"",""displayOrder"":0,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Paid Search"",""value"":""PAID_SEARCH"",""displayOrder"":1,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Email Marketing"",""value"":""EMAIL_MARKETING"",""displayOrder"":2,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Organic Social"",""value"":""SOCIAL_MEDIA"",""displayOrder"":3,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Referrals"",""value"":""REFERRALS"",""displayOrder"":4,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Other Campaigns"",""value"":""OTHER_CAMPAIGNS"",""displayOrder"":5,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Direct Traffic"",""value"":""DIRECT_TRAFFIC"",""displayOrder"":6,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Offline Sources"",""value"":""OFFLINE"",""displayOrder"":7,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Paid Social"",""value"":""PAID_SOCIAL"",""displayOrder"":8,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false}]","true","true","false","false","false","true","HubSpot",""
"Latest Source Data 1","hs_analytics_latest_source_data_1","string","Additional source details of the last session attributed to any contacts that are associated with this company","companyinformation","false","","true","true","false","false","false","true","HubSpot",""
"Latest Source Data 2","hs_analytics_latest_source_data_2","string","Additional source details of the last session attributed to any contacts that are associated with this company","companyinformation","false","","true","true","false","false","false","true","HubSpot",""
"Latest Source Timestamp","hs_analytics_latest_source_timestamp","datetime","Timestamp of when latest source occurred","companyinformation","false","","true","true","false","false","false","true","HubSpot",""
"Original Source","hs_analytics_source","enumeration","Original source for the contact with the earliest activity for this company or organization","companyinformation","false","[{""label"":""Organic Search"",""value"":""ORGANIC_SEARCH"",""displayOrder"":0,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Paid Search"",""value"":""PAID_SEARCH"",""displayOrder"":1,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Email Marketing"",""value"":""EMAIL_MARKETING"",""displayOrder"":2,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Organic Social"",""value"":""SOCIAL_MEDIA"",""displayOrder"":3,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Referrals"",""value"":""REFERRALS"",""displayOrder"":4,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Other Campaigns"",""value"":""OTHER_CAMPAIGNS"",""displayOrder"":5,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Direct Traffic"",""value"":""DIRECT_TRAFFIC"",""displayOrder"":6,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Offline Sources"",""value"":""OFFLINE"",""displayOrder"":7,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Paid Social"",""value"":""PAID_SOCIAL"",""displayOrder"":8,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false}]","false","true","false","false","false","true","HubSpot",""
"Original Source Drill-Down 1","hs_analytics_source_data_1","string","Additional information about the original source for the contact with the earliest activity for this company or organization","companyinformation","false","","true","true","false","false","false","true","HubSpot",""
"Original Source Drill-Down 2","hs_analytics_source_data_2","string","Additional information about the original source for the contact with the earliest activity for this company or organization","companyinformation","false","","true","true","false","false","false","true","HubSpot",""
"Country/Region Code","hs_country_code","string","Two-letter country code for the company headquarters location.","companyinformation","false","","false","false","false","false","false","true","HubSpot",""
"Created by user ID","hs_created_by_user_id","number","The user that created this object. This value is automatically set by HubSpot and may not be modified.","companyinformation","false","","true","true","false","false","false","true","HubSpot",""
"Merged Company IDs","hs_merged_object_ids","enumeration","The list of Company record IDs that have been merged into this Company. This value is automatically set by HubSpot and may not be modified.","companyinformation","false","","true","true","false","false","false","true","HubSpot",""
